"year","NOM_ENT","POB","TotalPerros","TotalGatos","RAVd","RAVg","ProyeccionPerros","ProyeccionGatos","pm1a","gm1a","MFd","MFc","pControl","SIR_agresiones"
2016,"Aguascalientes",830762,207178,22713,196203,21634,379667.3812,50297.1722,0.3452,0.6024,0.4644,0.466,0.0433,0.6789
2016,"Baja California",2192229,349926,11881,322385,5959,1049867.5543,120862.2328,0.3264,0.5214,0.4854,0.4973,0.0442,0.4399
2016,"Baja California Sur",475014,110438,17073,99988,13750,226648.3965,25709.5134,0.3243,0.573,0.4991,0.547,0.0413,0.6037
2016,"Campeche",591801,77553,11076,76180,9814,307277.2532,52900.4002,0.4146,0.6807,0.4044,0.3702,0.0013,0.9914
2016,"Coahuila",1915633,364392,16587,351012,13501,1067641.8082,109063.7821,0.2419,0.4203,0.3916,0.5948,0.0154,2.162
2016,"Colima",473790,81469,9832,79185,9037,215629.5466,45123.4596,0.2218,0.4969,0.2777,0.3802,0.0115,0.7541
2016,"Chiapas",3060969,460400,40418,457760,39668,1434722.3738,240312.4415,0.2438,0.184,0.4541,0.503,5e-04,0.4868
2016,"Chihuahua",2310452,404072,27262,388900,24593,1160756.1829,109316.9344,0.2865,0.4856,0.5361,0.5054,0.0175,0.7959
2016,"Ciudad de MExico",6581634,1140122,244617,1091952,216559,2036525.4437,324983.9227,0.3054,0.4534,0.484,0.5311,0.0115,1.7187
2016,"Durango",1104617,278801,17890,260620,15194,543633.1427,91629.9945,0.2831,0.5404,0.3895,0.3446,0.0408,2.607
2016,"Guanajuato",3702842,963940,79282,888518,66195,2158907.1904,273064.6066,0.4032,0.6231,0.4154,0.4709,0.047,0.9687
2016,"Guerrero",2147724,484079,81664,478924,79470,1086858.5286,231007.0427,0.2724,0.3842,0.4168,0.5183,0.0019,1.0999
2016,"Hidalgo",1855898,728759,103637,689890,95316,1025404.8134,208228.5223,0.2831,0.4489,0.3124,0.4027,0.0204,2.1691
2016,"Jalisco",5088296,712690,101805,652498,82191,2361899.4017,449701.0861,0.3591,0.5633,0.3779,0.4752,0.0304,0.9325
2016,"MExico",10837104,3040935,469695,2868858,416020,6019668.3807,863669.8156,0.31,0.5111,0.3897,0.4518,0.0199,1.6358
2016,"Michoac·n",2888869,735184,152223,706585,150708,1462581.8102,396611.618,0.2793,0.5063,0.4182,0.4737,0.0353,1.135
2016,"Morelos",1275607,133510,25534,123176,22486,652256.7942,145562.2332,0.3261,0.4987,0.4298,0.3767,0.0409,1.2393
2016,"Nayarit",757505,78771,12445,76650,11666,371745.8195,96068.1249,0.1075,0.1386,0.2965,0.4726,0,1.0616
2016,"Nuevo LeUn",3456093,554606,84906,509266,75764,1560197.4188,209498.0792,0.2902,0.4812,0.6484,0.5814,0.0537,1.2471
2016,"OAXACA",2497674,366167,30689,358418,28627,1295803.2072,284320.2904,0.0971,0.0475,0.4746,0.4813,0.0012,0.3067
2016,"Puebla",3895521,1274037,280412,1218518,260096,2144376.2083,449110.8324,0.4374,0.5909,0.3404,0.4168,0.0036,1.5174
2016,"QuerEtaro",1332790,266056,21693,252233,20308,713050.7842,124470.352,0.0309,0.0404,0.4948,0.5632,0.0411,0.806
2016,"Quintana Roo",992464,136667,10984,134360,10568,453640.815,81321.4733,0.1628,0.2428,0.5849,0.6842,0.0078,1.151
2016,"San Luis PotosI",1745639,527152,92613,488182,81061,919937.9146,160652.5819,0.3165,0.4788,0.6189,0.5546,0.0096,1.9734
2016,"Sinaloa",1959923,251226,60280,244383,56390,875392.8233,196260.0657,0.4479,0.4923,0.5458,0.9363,1e-04,0.253
2016,"Sonora",1872695,383977,51908,362255,47497,957118.5542,165840.7077,0.3733,0.4541,0.5357,0.5321,0.0243,1.4746
2016,"Tabasco",1541001,266269,46885,255141,44057,642598.044,81941.3311,0.328,0.4661,0.7494,0.5888,0.0129,0.3916
2016,"Tamaulipas",2262282,344791,25959,325704,22795,1105359.909,150095.4318,0.393,0.4036,0.4519,0.4981,0.0374,1.4129
2016,"Tlaxcala",821321,330152,57701,301670,51819,458835.9494,86569.6489,0.4486,0.5889,0.1795,0.3097,0.0542,1.3603
2016,"Veracruz",5393807,1205789,143921,1198456,139414,2534871.0805,579199.6275,0.2608,0.3941,0.3352,0.3812,0.0012,0.5261
2016,"Yucat·n",1410370,312374,53704,300891,51994,792559.312,184575.7508,0.2815,0.5152,0.5748,0.4262,0.0273,1.3988
2016,"Zacatecas",993044,253955,32343,245699,30929,495644.3426,94415.4391,0.338,0.401,0.2107,0.348,0.0107,0.5475
2017,"Aguascalientes",851640,229628,24098,217756,22373,389208.8571,51561.1977,0.3331,0.673,0.4599,0.5013,0.038,0.5767
2017,"Baja California",2248693,309063,11625,282005,4086,1076908.3979,123975.2128,0.3387,0.5645,0.5105,0.4774,0.0446,0.3603
2017,"Baja California Sur",489342,109080,21065,98737,16932,233484.8649,26484.9977,0.3312,0.625,0.5015,0.5561,0.0387,0.7106
2017,"Campeche",606653,163240,20750,161671,19493,314988.7673,54228.0031,0.3486,0.634,0.3206,0.3648,5e-04,0.8962
2017,"Coahuila",1954383,369614,23356,358853,20359,1089238.3875,111269.9571,0.2794,0.4515,0.6645,0.7019,0.0108,1.9137
2017,"Colima",485021,78591,11490,77948,11055,220740.9577,46193.0929,0.275,0.4943,0.1963,0.3467,0,0.9066
2017,"Chiapas",3131459,344045,41759,341159,41169,1467762.1008,245846.5138,0.1754,0.3356,0.3131,0.5445,0.0011,0.4598
2017,"Chihuahua",2354101,389094,34065,372694,30451,1182685.159,111382.1471,0.3597,0.4981,0.4285,0.4614,0.0203,0.6994
2017,"Ciudad de MExico",6627761,932809,200567,891238,173321,2050798.3141,327261.5537,0.3094,0.5082,0.464,0.5416,0.0128,1.7688
2017,"Durango",1124363,300395,28605,289296,26295,553351.0631,93267.9612,0.3447,0.6134,0.3363,0.406,0.0196,4.1447
2017,"Guanajuato",3769787,996178,84359,917901,69871,2197938.8428,278001.4389,0.3385,0.5635,0.4208,0.4885,0.0439,0.845
2017,"Guerrero",2175141,551567,102819,548331,100965,1100732.9372,233955.9877,0.2956,0.452,0.4162,0.4077,7e-04,1.2531
2017,"Hidalgo",1891885,730859,104309,685069,93493,1045288.0414,212266.201,0.2895,0.4729,0.3153,0.3909,0.0236,1.9807
2017,"Jalisco",5185578,830195,132162,760815,107798,2407056.0313,458298.8212,0.4374,0.6238,0.4479,0.4859,0.0307,0.739
2017,"MExico",11053239,3014724,463196,2885349,416687,6139724.5346,880894.8303,0.3226,0.5446,0.3617,0.4239,0.0112,1.5198
2017,"Michoac·n",2929400,597250,95859,574570,93861,1483101.9181,402176.102,0.2615,0.516,0.3647,0.3338,0.0322,1.0165
2017,"Morelos",1298861,72575,12123,65879,9242,664147.2742,148215.7967,0.3125,0.4814,0.5285,0.3871,0.0205,1.2401
2017,"Nayarit",774034,40744,4337,40121,3838,379857.4315,98164.3619,0.3499,0.3026,0.4976,0.808,0,1.4357
2017,"Nuevo LeUn",3532544,548918,95269,506899,84107,1594709.9892,214132.3115,0.3224,0.5049,0.514,0.6001,0.0471,1.235
2017,"OAXACA",2531119,640211,75094,632197,73058,1313154.6062,288127.4694,0.1268,0.0992,0.2852,0.3247,1e-04,0.5967
2017,"Puebla",3968226,1304929,265503,1247746,240528,2184398.2933,457492.9212,0.4372,0.5869,0.3386,0.4517,0.0022,1.492
2017,"QuerEtaro",1371584,262774,19533,246895,18003,733805.811,128093.3555,0.0735,0.0425,0.4825,0.5164,0.0462,0.6804
2017,"Quintana Roo",1026348,131749,12498,129305,11180,469128.697,84097.8932,0.1923,0.2178,2.0551,2.2543,0.0021,1.0164
2017,"San Luis PotosI",1773186,515702,84378,499143,78825,934454.9652,163187.7548,0.3278,0.537,0.4315,0.4927,0.006,1.6982
2017,"Sinaloa",1993607,239533,77000,228485,73128,890437.6653,199633.0676,0.3248,0.4832,0.4736,0.5414,0.0177,0.2907
2017,"Sonora",1912718,342835,38559,315205,32639,977573.9705,169385.0342,0.4109,0.4904,0.4437,0.4756,0.0323,1.4918
2017,"Tabasco",1570259,264775,36959,260167,36093,654798.6419,83497.0987,0.2032,0.4134,0.3863,0.3878,0.0079,0.2138
2017,"Tamaulipas",2296416,342894,33278,325505,30403,1122037.916,152360.1174,0.3708,0.4097,0.4188,0.5204,0.0339,1.5074
2017,"Tlaxcala",838551,329621,54194,296810,47126,468461.5932,88385.7415,0.4065,0.5597,0.204,0.3522,0.0596,0.9462
2017,"Veracruz",5466393,1262405,172091,1255059,166787,2568983.564,586994.0822,0.3041,0.4593,0.302,0.329,9e-04,0.6971
2017,"Yucat·n",1439279,331793,58303,326535,56233,808804.7633,188359.0845,0.3176,0.4097,0.5296,0.8733,0.0053,1.6878
2017,"Zacatecas",1006683,274972,32777,266327,31234,502451.7884,95712.1915,0.1748,0.2366,0.2347,0.3121,0.0102,0.4997
2018,"Aguascalientes",872284,233325,27401,218497,24002,398643.3924,52811.0561,0.4051,0.7376,0.5098,0.6178,0.0374,0.4918
2018,"Baja California",2304488,289330,13735,262916,5676,1103628.8547,127051.3095,0.3761,0.6183,0.5366,0.5624,0.0429,0.3573
2018,"Baja California Sur",503531,98827,21787,91031,17597,240255.0109,27252.9588,0.3646,0.648,0.4777,0.5473,0.0162,0.5411
2018,"Campeche",621328,178096,27018,175352,24271,322608.3788,55539.7842,0.3711,0.6221,0.5046,0.4263,7e-04,0.6462
2018,"Coahuila",1992735,364049,22373,351887,19764,1110613.1491,113453.4725,0.2697,0.3185,0.3736,0.4732,0.01,1.3971
2018,"Colima",496085,78264,12494,77610,12125,225776.3643,47246.8213,0.1979,0.3875,0.1987,0.202,0.0012,0.8165
2018,"Chiapas",3201316,399894,57833,399096,57474,1500505.1311,251330.8903,0.1982,0.0306,0.4733,0.436,1e-04,0.527
