,,188 PREVENCIÓN Y CONTROL DE RABIA ANIMALES VACUNADOS,,,,,,,189 PREVENCIÓN Y CONTROL DE RABIA ANIMALES EN CONTROL,,,190 PREVENCIÓN Y CONTROL DE RABIA ANIMALES ESTERILIZADOS,,,,,,,,,,,,,,,,,,,,,,,,,191 PREVENCIÓN Y CONTROL DE RABIA MUESTRAS ENVIADAS AL LABORATORIO,,,,,,,192 PREVENCIÓN Y CONTROL DE RABIA MUESTRAS POSITIVAS,,,,,
Entidad,053 ZOONOSIS-RABIA PERSONAS AGREDIDAS,RAV09 PERRO AUTORIDAD LOCAL,RAV10 PERRO GRUPOS DE LA COMUNIDAD,RAV14 GATO AUTORIDAD LOCAL,RAV15 GATO GRUPOS DE LA COMUNIDAD,RAV16 PERRO SSA,RAV17 GATO SSA,Total,RAE03 CENTRO DE ATENCIÓN CANINA,RAE04 AUTORIDAD LOCAL,Total,RAM21 PERRO MACHO MENOR DE UN AÑO SSA,RAM22 PERRO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM23 PERRO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM24 PERRO MACHO UN AÑO Y MÁS SSA,RAM25 PERRO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM26 PERRO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM27 PERRO HEMBRA MENOR DE UN AÑO SSA,RAM28 PERRO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM29 PERRO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM30 PERRO HEMBRA UN AÑO Y MÁS SSA,RAM31 PERRO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM32 PERRO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM33 GATO MACHO MENOR DE UN AÑO SSA,RAM34 GATO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM35 GATO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM36 GATO MACHO UN AÑO Y MÁS SSA,RAM37 GATO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM38 GATO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM39 GATO HEMBRA MENOR DE UN AÑO SSA,RAM40 GATO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM41 GATO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM42 GATO HEMBRA UN AÑO Y MÁS SSA,RAM43 GATO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM44 GATO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,Total,REL01 QUIRÓPTERO Y OTRA FAUNA SILVESTRE SSA,REL02 QUIRÓPTERO Y OTRA FAUNA SILVESTRE AUTORIDAD LOCAL,REL03 GATO Y OTRA FAUNA DOMÉSTICA SSA,REL04 GATO Y OTRA FAUNA DOMÉSTICA AUTORIDAD LOCAL,REL05 PERRO SSA,REL06 PERRO AUTORIDAD LOCAL,Total,RMP01 QUIRÓPTERO Y OTRA FAUNA SILVESTRE SSA,RMP02 QUIRÓPTERO Y OTRA FAUNA SILVESTRE AUTORIDAD LOCAL,RMP03 GATO Y OTRA FAUNA DOMÉSTICA SSA,RMP04 GATO Y OTRA FAUNA DOMÉSTICA AUTORIDAD LOCAL,RMP05 PERRO SSA,RMP06 PERRO AUTORIDAD LOCAL
1 AGUASCALIENTES,472,"57,153",545,"6,346",62,"138,505","15,226","217,837",,"8,979","8,979",152,48,6,304,106,17,338,119,26,585,251,44,179,28,5,90,29,12,321,84,33,182,97,19,"3,075",,,,37,,922,959,,,,,,
2 BAJA CALIFORNIA,807,"38,212","107,897","1,144","3,175","176,276","1,640","328,344","2,236","13,248","15,484",49,376,884,383,613,"1,635",175,874,"1,577",936,"1,125","3,430",45,135,821,244,144,578,101,280,"1,706",398,288,"1,182","17,979",,,2,,750,412,"1,164",,,,,,
3 BAJA CALIFORNIA SUR,240,"1,217",,62,,"98,771","13,688","113,738","1,584","2,976","4,560",523,14,91,"1,107",36,190,"1,099",19,164,"2,287",65,295,614,8,60,441,5,47,"1,117",10,95,822,19,85,"9,213",6,,3,,141,,150,5,,1,,1,
4 CAMPECHE,491,,,,,"76,180","9,814","85,994",,102,102,117,16,,203,30,,357,37,,480,31,,209,32,,89,11,,541,72,5,276,27,,"2,533",4,,6,,77,1,88,3,,,,,
5 COAHUILA DE ZARAGOZA,"3,466","39,948","15,021",991,513,"296,043","11,997","364,513","1,636","3,961","5,597",627,29,89,817,299,329,"1,009",17,112,"1,260","2,693",502,460,12,63,493,26,97,675,14,73,806,154,213,"10,869",69,,15,,654,,738,,,,,,
6 COLIMA,299,"1,499",940,127,,"76,746","8,910","88,222",849,87,936,1,31,19,18,168,56,10,124,114,67,442,298,16,46,52,12,65,28,32,135,114,47,124,124,"2,143",31,2,13,1,,,47,,,,1,,
7 CHIAPAS,"1,247","8,626","13,693",839,"2,713","435,441","36,116","497,428",41,191,232,165,10,,555,22,,405,7,,"1,236",8,,45,6,,196,4,,77,10,,408,4,,"3,158",,,2,,78,,80,,,,,,
8 CHIHUAHUA,"1,539","19,842","2,086","1,621",490,"366,972","22,482","413,493","6,025","1,038","7,063",279,101,467,936,338,709,531,157,788,"1,022",561,"2,220",282,21,97,114,77,305,631,35,230,280,118,479,"10,778",37,12,9,18,810,20,906,4,,1,,,
9 DISTRITO FEDERAL,"9,467","34,096",954,"10,180",316,"1,056,902","206,063","1,308,511","11,738","1,404","13,142","2,389","1,049",42,"6,296","1,474",174,"5,157","2,037",23,"12,889","3,171",327,"3,656",714,34,"4,263",948,118,"6,967","1,322",29,"7,645","2,186",176,"63,086",1,,85,25,"1,021",134,"1,266",,,,,,
10 DURANGO,"2,410",119,,,,"260,501","15,194","275,814",620,"10,758","11,378",284,45,193,696,130,559,822,131,451,"1,836",377,"1,279",253,38,91,195,28,86,752,101,222,558,129,243,"9,499",,,3,,133,,136,,,,,,
11 GUANAJUATO,"3,002","6,767",,566,,"881,751","65,629","954,713","27,256","18,036","45,292","2,484",601,33,"4,904",781,39,"7,304","1,684",43,"11,217",980,60,"1,532",855,13,"1,234",537,19,"3,386","2,337",32,"2,575",550,17,"43,217",2,6,,20,"1,948","3,816","5,792",1,1,,,,
12 GUERRERO,"1,977","1,898",,428,,"477,026","79,042","558,394",298,625,923,213,145,8,610,249,20,434,336,17,"1,295",827,78,99,149,12,184,295,10,261,307,15,393,437,32,"6,426",2,,8,6,79,,95,,,8,10,,
13 HIDALGO,"3,369","112,258","1,514","29,452",,"576,118","65,864","785,206","4,715","10,138","14,853","1,230",152,25,"3,554",696,60,"4,601",666,124,"10,445","2,243",220,887,194,37,977,264,30,"2,089",453,75,"2,538",732,45,"32,337",46,3,56,7,"1,067",332,"1,511",1,2,8,5,,
14 JALISCO,"3,971","38,684","86,505","3,782","8,284","527,309","70,125","734,689","11,486","10,214","21,700","1,478","2,022",505,"3,452","2,232",868,"4,442","4,012","1,363","10,427","5,292","2,399","1,567","1,403",743,"1,355",950,300,"3,133","2,910","1,292","3,086","2,106",769,"58,106",197,53,28,98,716,"1,436","2,528",4,1,9,10,,
15 MÉXICO,"14,836","118,607","3,245","24,153",557,"2,747,006","391,310","3,284,878","38,975","21,441","60,416","6,067","2,992",282,"14,674","6,519",779,"17,444","7,087",748,"37,865","15,477","1,727","5,203","3,038",289,"4,972","2,967",235,"12,002","6,319",583,"11,401","6,100",566,"165,336",30,4,29,86,883,"4,331","5,363",,1,,,,
