,,188 PREVENCIÓN Y CONTROL DE RABIA ANIMALES VACUNADOS,,,,,,,189 PREVENCIÓN Y CONTROL DE RABIA ANIMALES EN CONTROL,,,190 PREVENCIÓN Y CONTROL DE RABIA ANIMALES ESTERILIZADOS,,,,,,,,,,,,,,,,,,,,,,,,,191 PREVENCIÓN Y CONTROL DE RABIA MUESTRAS ENVIADAS AL LABORATORIO,,,,,,,192 PREVENCIÓN Y CONTROL DE RABIA MUESTRAS POSITIVAS,,,,
Entidad,053 ZOONOSIS-RABIA PERSONAS AGREDIDAS,RAV09 PERRO AUTORIDAD LOCAL,RAV10 PERRO GRUPOS DE LA COMUNIDAD,RAV14 GATO AUTORIDAD LOCAL,RAV15 GATO GRUPOS DE LA COMUNIDAD,RAV16 PERRO SSA,RAV17 GATO SSA,Total,RAE03 CENTRO DE ATENCIÓN CANINA,RAE04 AUTORIDAD LOCAL,Total,RAM21 PERRO MACHO MENOR DE UN AÑO SSA,RAM22 PERRO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM23 PERRO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM24 PERRO MACHO UN AÑO Y MÁS SSA,RAM25 PERRO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM26 PERRO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM27 PERRO HEMBRA MENOR DE UN AÑO SSA,RAM28 PERRO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM29 PERRO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM30 PERRO HEMBRA UN AÑO Y MÁS SSA,RAM31 PERRO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM32 PERRO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM33 GATO MACHO MENOR DE UN AÑO SSA,RAM34 GATO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM35 GATO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM36 GATO MACHO UN AÑO Y MÁS SSA,RAM37 GATO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM38 GATO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM39 GATO HEMBRA MENOR DE UN AÑO SSA,RAM40 GATO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM41 GATO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM42 GATO HEMBRA UN AÑO Y MÁS SSA,RAM43 GATO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM44 GATO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,Total,REL01 QUIRÓPTERO Y OTRA FAUNA SILVESTRE SSA,REL02 QUIRÓPTERO Y OTRA FAUNA SILVESTRE AUTORIDAD LOCAL,REL03 GATO Y OTRA FAUNA DOMÉSTICA SSA,REL04 GATO Y OTRA FAUNA DOMÉSTICA AUTORIDAD LOCAL,REL05 PERRO SSA,REL06 PERRO AUTORIDAD LOCAL,Total,RMP01 QUIRÓPTERO Y OTRA FAUNA SILVESTRE SSA,RMP02 QUIRÓPTERO Y OTRA FAUNA SILVESTRE AUTORIDAD LOCAL,RMP03 GATO Y OTRA FAUNA DOMÉSTICA SSA,RMP04 GATO Y OTRA FAUNA DOMÉSTICA AUTORIDAD LOCAL,RMP05 PERRO SSA
1 AGUASCALIENTES,411,"56,289",,"4,919",,"161,467","17,454","240,129",,"8,726","8,726",232,24,85,419,123,108,459,64,184,764,402,282,288,14,89,93,54,38,551,33,186,170,149,60,"4,871",,1,,70,,955,"1,026",,,,,
2 BAJA CALIFORNIA,678,"44,014","112,879","1,154","1,233","125,112","1,699","286,091",610,"13,174","13,784",179,659,658,351,963,"1,676",236,"1,281","1,483",915,"1,487","3,386",117,371,892,160,223,673,231,705,"1,940",379,398,"1,450","20,813",3,,,,760,334,"1,097",1,,,,
3 BAJA CALIFORNIA SUR,291,"2,364",,348,,"96,373","16,584","115,669","3,882",344,"4,226",457,41,172,936,161,276,"1,015",81,260,"2,106",224,388,733,32,159,438,19,96,"1,353",39,267,830,38,129,"10,250",2,,1,,169,,172,2,,1,,
4 CAMPECHE,455,"3,230",,"2,351",,"158,441","17,142","181,164",,86,86,78,21,7,190,46,18,292,89,30,513,131,68,194,22,12,82,14,12,487,42,40,277,33,42,"2,740",,,7,2,65,5,79,,,,,
5 COAHUILA DE ZARAGOZA,"3,130","65,444","19,458","1,412","1,968","273,951","16,979","379,212",987,"3,013","4,000",421,51,179,608,"1,052",388,501,90,647,"1,020",156,"1,648",436,42,170,415,34,139,461,50,194,618,76,362,"9,758",3,,22,,471,75,571,,,,,
6 COLIMA,368,"1,606","6,935",249,770,"69,407","10,036","89,003",,3,3,,13,20,16,19,37,3,42,98,87,105,200,9,10,43,7,21,22,5,57,91,53,43,74,"1,075",31,,10,,,,41,3,,7,,
7 CHIAPAS,"1,205","5,970","13,037","1,154","1,827","322,152","38,188","382,328",,395,395,135,38,7,292,100,22,163,67,27,"1,428",158,54,45,19,7,94,22,21,81,18,28,161,39,55,"3,081",,,,,5,3,8,,,,,1
8 CHIHUAHUA,"1,378","6,655","11,587",65,"1,083","354,452","29,303","403,145","6,544","1,369","7,913",234,146,369,919,284,594,499,486,"1,319","1,069",662,"1,906",295,68,158,174,133,313,695,146,438,331,189,674,"12,101",4,,2,,697,17,720,2,,,,
9 DISTRITO FEDERAL,"9,811","20,656","1,358","7,289",270,"869,224","165,762","1,064,559","8,100","3,804","11,904","2,085",776,20,"5,291","1,132",99,"4,627","1,633",37,"11,300","2,453",214,"4,181",682,33,"3,745",876,55,"7,546","1,331",73,"6,759","1,847",118,"56,913",2,1,95,8,523,151,780,,,,,
10 DURANGO,"3,900","1,000","1,000",100,100,"287,296","26,095","315,591",435,"5,463","5,898",235,57,123,454,108,332,891,114,373,"1,375",237,902,305,45,89,126,39,63,701,83,194,376,87,202,"7,511",,,1,,154,40,195,,,,,
11 GUANAJUATO,"2,666","4,271","11,250",473,554,"902,380","68,844","987,772","24,460","19,298","43,758","2,466",613,17,"5,241","1,869",17,"7,085","1,468",37,"12,748","2,932",26,"2,012",708,6,"1,453",571,5,"4,007","1,415",16,"3,145","1,135",15,"49,007",5,,4,3,"1,680","2,707","4,399",,,2,,
12 GUERRERO,"2,281",187,6,,2,"548,138","100,963","649,296",177,221,398,117,82,74,295,162,104,323,141,102,665,523,250,56,114,60,108,118,81,175,328,105,220,360,129,"4,692",4,,12,2,44,1,63,1,,8,9,
13 HIDALGO,"3,136","113,402",10,"27,999",,"571,657","65,494","778,562","4,218","13,060","17,278","1,581",262,21,"4,273",681,17,"5,435",937,18,"13,185","2,090",12,"1,246",248,14,"1,295",218,19,"3,007",585,15,"3,582",564,23,"39,328",90,18,50,30,"1,044",471,"1,703",,1,19,7,
14 JALISCO,"3,207","43,171","13,290","11,891","2,014","704,354","93,893","868,613","12,428","13,033","25,461","2,115","3,611",609,"2,795","3,263","1,194","5,061","6,608","1,204","8,604","6,600","2,255","1,860","2,554",709,"1,127","1,198",519,"3,621","5,254","1,201","2,609","2,777",935,"68,283",84,72,11,94,478,"1,072","1,811",3,2,11,3,
15 MÉXICO,"14,059","111,645",,"11,286",,"2,773,704","405,401","3,302,036","20,342","13,496","33,838","4,375","3,344",201,"10,473","6,459",524,"14,198","8,148",555,"28,859","16,966","1,435","3,863","3,538",205,"3,481","2,526",232,"9,412","7,913",398,"8,191","6,151",599,"142,046",38,,9,50,567,"1,511","2,175",,,2,,
16 MICHOACÁN DE OCAMPO,"2,492","8,712",,26,,"565,858","93,835","668,431",,"19,219","19,219",113,71,43,369,229,100,423,185,70,"1,125",562,171,183,48,29,192,33,15,559,156,56,537,145,45,"5,459",,,1,,1,,2,,,,,
17 MORELOS,"1,348","4,815","1,141",521,145,"59,923","8,576","75,121",25,"1,465","1,490",198,279,121,130,774,298,96,558,375,159,"1,379",839,26,159,188,31,240,160,67,397,550,42,549,472,"8,087",6,22,,31,63,286,408,,,,1,
18 NAYARIT,930,,,,,"40,121","3,838","43,959",,,,53,,,154,,,165,,,251,,,79,,,144,,,72,,,204,,,"1,122",,,,,,,,,,,,
19 NUEVO LEÓN,"3,651","18,188","1,773","8,596",,"486,938","75,511","591,006","20,338","5,498","25,836",937,71,820,"2,177",165,"1,324","1,898",119,"1,372","4,439",315,"2,546","1,212",133,752,"1,078",34,977,"2,338",218,983,"2,108",88,"1,241","27,345",51,10,205,8,"4,656",158,"5,088",4,,,,
20 OAXACA,"1,264",828,"1,131",16,49,"630,238","72,993","705,255",,74,74,294,,,"1,468",,,713,,,"5,465",,,55,,,444,,,147,,,"1,390",,,"9,976",2,2,2,,2,,8,,,1,,
