,,188 PREVENCIÓN Y CONTROL DE RABIA ANIMALES VACUNADOS,,,,,,,189 PREVENCIÓN Y CONTROL DE RABIA ANIMALES EN CONTROL,,,190 PREVENCIÓN Y CONTROL DE RABIA ANIMALES ESTERILIZADOS,,,,,,,,,,,,,,,,,,,,,,,,,191 PREVENCIÓN Y CONTROL DE RABIA MUESTRAS ENVIADAS AL LABORATORIO,,,,,,,192 PREVENCIÓN Y CONTROL DE RABIA MUESTRAS POSITIVAS,,,,,Grand Total,
Entidad,053 ZOONOSIS-RABIA PERSONAS AGREDIDAS,RAV09 PERRO AUTORIDAD LOCAL,RAV10 PERRO GRUPOS DE LA COMUNIDAD,RAV14 GATO AUTORIDAD LOCAL,RAV15 GATO GRUPOS DE LA COMUNIDAD,RAV16 PERRO SSA,RAV17 GATO SSA,Total,RAE03 CENTRO DE ATENCIÓN CANINA,RAE04 AUTORIDAD LOCAL,Total,RAM21 PERRO MACHO MENOR DE UN AÑO SSA,RAM22 PERRO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM23 PERRO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM24 PERRO MACHO UN AÑO Y MÁS SSA,RAM25 PERRO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM26 PERRO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM27 PERRO HEMBRA MENOR DE UN AÑO SSA,RAM28 PERRO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM29 PERRO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM30 PERRO HEMBRA UN AÑO Y MÁS SSA,RAM31 PERRO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM32 PERRO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM33 GATO MACHO MENOR DE UN AÑO SSA,RAM34 GATO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM35 GATO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM36 GATO MACHO UN AÑO Y MÁS SSA,RAM37 GATO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM38 GATO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM39 GATO HEMBRA MENOR DE UN AÑO SSA,RAM40 GATO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM41 GATO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM42 GATO HEMBRA UN AÑO Y MÁS SSA,RAM43 GATO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM44 GATO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,Total,REL01 QUIRÓPTERO Y OTRA FAUNA SILVESTRE SSA,REL02 QUIRÓPTERO Y OTRA FAUNA SILVESTRE AUTORIDAD LOCAL,REL03 GATO Y OTRA FAUNA DOMÉSTICA SSA,REL04 GATO Y OTRA FAUNA DOMÉSTICA AUTORIDAD LOCAL,REL05 PERRO SSA,REL06 PERRO AUTORIDAD LOCAL,Total,RMP01 QUIRÓPTERO Y OTRA FAUNA SILVESTRE SSA,RMP02 QUIRÓPTERO Y OTRA FAUNA SILVESTRE AUTORIDAD LOCAL,RMP03 GATO Y OTRA FAUNA DOMÉSTICA SSA,RMP04 GATO Y OTRA FAUNA DOMÉSTICA AUTORIDAD LOCAL,Total,,
1 AGUASCALIENTES,354,"38,267",,"3,355",,"180,852","21,214","243,688",,"7,371","7,371",620,136,11,897,211,11,"1,143",187,8,"1,505",297,27,836,101,23,220,44,2,"1,510",240,43,402,76,5,"8,555",,3,2,33,3,970,1011,,,,,,260979,
2 BAJA CALIFORNIA,697,"41,373","81,446",3074,4238,"155,048","11,890","297,069",126,"12,589","12,715",158,688,741,557,862,1552,364,1590,1827,"1,039",1686,3118,263,396,1194,354,337,691,475,883,2135,682,545,1201,"23,338",1,1,16,,733,399,1150,,,,,,334969,
3 BAJA CALIFORNIA SUR,263,"1,630",,196,,"92,888","20,105","114,819",801,,801,460,8,,818,17,,"1,129",29,,"2,066",47,,709,3,,384,2,,"1,216",22,,868,4,,"7,782",4,,10,,87,,101,,,1,,1,123767,
4 CAMPECHE,376,14885,,3584,,"151,834","27,235","197,538",,51,51,259,86,43,571,252,43,882,401,75,1737,546,126,507,107,76,307,54,48,1091,218,123,765,134,113,"8,564",,,9,,51,6,66,,,,,,206595,
5 COAHUILA DE ZARAGOZA,"2,271","60,948",13838,"4,154",1042,"330,272","16,695","426,949","1,422","1,867","3,289",269,144,77,310,443,602,596,2331,259,"1,610","2,000",3921,286,160,100,266,246,235,334,59,66,394,436,267,"15,411",3,,32,2,213,96,346,,,,,,448266,
6 COLIMA,351,"1,703",308,268,65,"111,118","16,912","130,374",,243,243,7,139,17,41,301,55,50,348,58,168,740,217,13,315,25,23,178,30,36,633,46,65,479,59,"4,043",7,,,,,,7,,,,1,1,135019,
7 CHIAPAS,"1,371","1,456",2228,221,572,"42,803","5,470","52,750",14,,14,21,68,85,48,101,46,26,126,210,83,204,250,17,86,28,12,84,57,14,99,78,67,139,148,"2,097",,,,3,13,8,24,,,,,,56256,
8 CHIHUAHUA,999,"13,478",7081,526,499,"347,352","28,395","397,331",5789,890,"6,679",322,111,361,663,266,1067,634,242,1184,"1,037",373,1664,452,75,208,199,88,247,885,123,480,420,127,567,"11,795",3,,9,,468,39,519,2,,,,2,417325,
9 CIUDAD DE MEXICO,"8,480","35,847",437,8363,250,"936,312","199,752","1,180,961",2126,"2,415","4,541",2401,995,5,5132,1724,24,4739,2229,27,10156,"3,468",66,5657,1229,15,4496,1374,25,9967,2712,47,7431,2590,39,"66,548",1,1,34,4,124,97,261,13,,,,13,1260804,
10 DURANGO,2723,4081,16400,503,1440,"168,635","17,694","208,753",74,4453,4527,111,96,60,240,192,116,490,394,193,658,610,344,177,103,82,115,59,77,387,298,194,230,198,230,"5,654",,,27,,307,157,491,,,,,,222148,
11 GUANAJUATO,"2,496",2,,,,"916,581","74,965","991,548","22,964","15,053","38,017",2326,2103,,"5,308",2580,6,"8,017",2721,,"13,330",4473,,"2,433",897,,"1,801",782,,"5,106",1582,,"4,044",1288,,"58,797",,8,,9,"1,236",2002,"3,255",,,,,,1094113,
12 GUERRERO,"2,520",383,,11,60,"349,653","59,625","409,732",247,1301,1548,19,83,71,162,107,81,89,102,77,661,130,136,37,78,75,72,81,54,98,94,62,207,123,55,"2,754",,,2,9,41,,52,,,2,10,12,416618,
13 HIDALGO,"2,787","136,648","7,681","30,459",878,"572,785","75,438","823,889","4,167","12,059","16,226","1,488",507,5,"4,082","1,035",27,"4,568","1,954",26,"10,199","3,798",23,"1,480",446,23,"1,385",492,13,"2,927","1,139",16,"3,269","1,367",9,"40,278",34,9,56,7,840,509,1455,3,2,13,2,20,884655,
14 JALISCO,3287,"59,203",16109,13741,3735,"685,288","118,016","896,092","2,642",3629,"6,271",908,1297,267,1523,2052,404,2874,2743,787,4518,"4,073",1192,975,1944,668,585,867,238,2641,4188,1038,1364,1723,431,"39,300",19,10,3,10,33,452,527,1,,1,2,4,945481,
15 MÉXICO,13699,"48,064",89,"11,888",,"2,820,005","445,565","3,325,611",17541,12773,30314,3889,3103,67,9725,7481,118,14429,8215,234,32925,18038,347,4900,4772,72,4595,3491,75,11848,9338,180,11408,7550,153,"156,953",29,1,5,36,78,1298,1447,,,1,,1,3528025,
16 MICHOACÁN DE OCAMPO,"2,049",,,,,"545,203","107,842","653,045",,"13,628","13,628",259,57,20,727,161,46,777,152,66,"1,618",344,157,326,49,36,263,39,25,657,110,74,669,105,75,"6,812",4,1,,2,5,,12,,,,,,675546,
17 MORELOS,1105,"93,085","34,987",14133,"6,277","147,851","24,607","320,940",,618,618,18,168,122,55,366,207,105,670,415,267,1229,688,28,199,115,21,182,104,94,571,332,73,607,313,"6,949",,,1,7,2,143,153,,,,,,329765,
18 NAYARIT,734,,,64,,"59,171","9,560","68,795",,590,590,10,95,49,6,71,75,9,84,102,11,126,65,1,98,76,3,29,44,2,90,103,1,65,33,"1,248",7,3,,,17,,27,,,,,,71394,
19 NUEVO LEÓN,2695,9903,13021,2925,6987,"492,477","69,577","594,890",16070,"4,810","20,880",827,184,737,1950,384,1427,1758,267,1143,"3,793",686,2381,1187,392,769,945,127,1033,2650,601,1121,2142,287,1401,"28,192",92,8,173,21,4805,192,5291,9,,2,1,12,651960,
20 OAXACA,816,793,410,87,21,"257,318","25,316","283,945",,,,315,,,607,80,,672,40,,"1,748",140,,76,,,160,20,,187,,,421,20,,"4,486",,,,,,,,,,,,,289247,
21 PUEBLA,4439,"202,948",19608,"40,843",4068,"798,476","161,728","1,227,671","2,547",662,"3,209",2754,1863,257,"3,876",2098,364,"10,274",6808,958,"13,719",8314,1093,"2,356",1631,229,1387,828,117,"5,911",4147,507,"3,844",2210,296,"75,841",40,,31,514,244,272,"1,101",2,,8,,10,1312271,
22 QUERÉTARO ARTEAGA,988,"13,663",152,"1,082",,"254,256","24,370","293,523",11259,174,"11,433",100,92,19,545,1630,32,211,240,29,481,2702,53,116,167,13,127,816,9,112,114,29,160,1238,7,"9,042",1,,,,,53,54,,7,,,7,315047,
23 QUINTANA ROO,817,"18,725",598,"2,769",198,"118,828","13,255","154,373",,81,81,3,159,118,35,485,261,22,243,169,65,839,267,2,65,262,5,81,134,7,83,337,33,177,196,"4,048",2,12,,,1,14,29,,,,,,159348,
24 SAN LUIS POTOSÍ,2300,"3,500",152257,275,28686,"354,660","47,029","586,407",698,945,"1,643",608,106,248,1181,281,732,1374,226,787,"2,935",679,1828,686,82,304,528,73,286,1106,154,528,1106,253,549,"16,640",88,28,139,2,630,,887,1,1,25,1,28,607905,
25 SINALOA,686,"2,126","10,936",952,"4,462","204,843","80,607","303,926","2,989","5,637","8,626",294,873,481,500,"1,509",708,563,"1,590",870,"1,083","3,518","1,576",325,662,509,465,795,558,590,"1,200",723,719,"1,888","1,029","23,028",,,,,,,,,,,,,336266,
26 SONORA,1862,44528,3755,2827,458,259903,37364,348835,5620,5651,11271,559,877,612,1315,1310,888,1271,1765,1018,3060,2434,1294,595,465,202,571,432,323,1106,829,387,1111,869,406,23699,3,22,17,2,155,218,417,,1,,,1,386085,
27 TABASCO,436,675,,1,,266719,38998,306393,,1704,1704,122,1,1,550,2,2,405,2,1,1862,2,2,179,,,294,2,,414,1,1,514,1,1,4359,,,1,,4,,5,,,,,,312897,
28 TAMAULIPAS,2416,23507,26235,3471,3902,266457,28258,351830,5127,6731,11858,539,140,317,682,151,319,828,192,253,1738,327,507,343,79,200,486,95,204,447,108,235,821,191,291,9493,35,20,85,3,996,22,1161,4,1,,,5,376763,
29 TLAXCALA,668,6267,,1127,,292030,50665,350089,20356,,20356,952,173,,1540,342,,4847,628,,7156,1071,,1379,313,,827,157,,3984,650,,2757,459,,27235,,,2,,2822,,2824,,,,,,401172,
30 VERACRUZ DE IGNACIO DE LA LLAVE,3215,7955,172169,2496,24801,1158880,172583,1538884,439,184,623,255,91,87,671,218,156,1143,393,322,3540,809,758,264,179,161,434,227,158,958,454,374,1410,669,567,14298,6,2,17,,87,7,119,,,1,,1,1557140,
31 YUCATÁN,1416,32567,31945,8572,10651,183438,27374,294547,,118,118,13,,,230,,,87,,,1120,,,10,,,115,,,43,,,335,,,1953,55,2,25,5,9,,96,,,2,2,4,298134,
32 ZACATECAS,494,677,,123,,269245,38887,308932,1010,903,1913,162,37,,607,180,,613,82,,3604,350,,65,24,,251,25,,214,55,,758,107,,7134,,,,,10,26,36,,,,,,318509,
