,,188 PREVENCIÓN Y CONTROL DE RABIA ANIMALES VACUNADOS,,,,,,,189 PREVENCIÓN Y CONTROL DE RABIA ANIMALES EN CONTROL,,,190 PREVENCIÓN Y CONTROL DE RABIA ANIMALES ESTERILIZADOS,,,,,,,,,,,,,,,,,,,,,,,,,191 PREVENCIÓN Y CONTROL DE RABIA MUESTRAS ENVIADAS AL LABORATORIO,,,,,,,192 PREVENCIÓN Y CONTROL DE RABIA MUESTRAS POSITIVAS,,,,,,,Grand Total
Entidad,053 ZOONOSIS-RABIA PERSONAS AGREDIDAS,RAV09 PERRO AUTORIDAD LOCAL,RAV10 PERRO GRUPOS DE LA COMUNIDAD,RAV14 GATO AUTORIDAD LOCAL,RAV15 GATO GRUPOS DE LA COMUNIDAD,RAV16 PERRO SSA,RAV17 GATO SSA,Total,RAE03 CENTRO DE ATENCIÓN CANINA,RAE04 AUTORIDAD LOCAL,Total,RAM21 PERRO MACHO MENOR DE UN AÑO SSA,RAM22 PERRO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM23 PERRO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM24 PERRO MACHO UN AÑO Y MÁS SSA,RAM25 PERRO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM26 PERRO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM27 PERRO HEMBRA MENOR DE UN AÑO SSA,RAM28 PERRO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM29 PERRO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM30 PERRO HEMBRA UN AÑO Y MÁS SSA,RAM31 PERRO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM32 PERRO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM33 GATO MACHO MENOR DE UN AÑO SSA,RAM34 GATO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM35 GATO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM36 GATO MACHO UN AÑO Y MÁS SSA,RAM37 GATO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM38 GATO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM39 GATO HEMBRA MENOR DE UN AÑO SSA,RAM40 GATO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM41 GATO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM42 GATO HEMBRA UN AÑO Y MÁS SSA,RAM43 GATO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM44 GATO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,Total,REL01 QUIRÓPTERO Y OTRA FAUNA SILVESTRE SSA,REL02 QUIRÓPTERO Y OTRA FAUNA SILVESTRE AUTORIDAD LOCAL,REL03 GATO Y OTRA FAUNA DOMÉSTICA SSA,REL04 GATO Y OTRA FAUNA DOMÉSTICA AUTORIDAD LOCAL,REL05 PERRO SSA,REL06 PERRO AUTORIDAD LOCAL,Total,RMP01 QUIRÓPTERO Y OTRA FAUNA SILVESTRE SSA,RMP02 QUIRÓPTERO Y OTRA FAUNA SILVESTRE AUTORIDAD LOCAL,RMP03 GATO Y OTRA FAUNA DOMÉSTICA SSA,RMP04 GATO Y OTRA FAUNA DOMÉSTICA AUTORIDAD LOCAL,RMP05 PERRO SSA,RMP06 PERRO AUTORIDAD LOCAL,Total,
AGUASCALIENTES,187,"36,896",0,"3,854",0,"179,522","24,261","244,533",0,"9,416","9,416",272,174,7,462,271,6,569,239,5,866,393,5,412,287,7,197,123,1,742,377,10,191,199,5,"5,820",0,8,0,38,0,825,871,0,0,0,0,0,0,0,260827
BAJA CALIFORNIA,367,"35,685","50,601","3,669","5,174","108,131","8,489","211,749",127,"7,636","7,763",254,573,464,607,823,"1,358",485,"1,240","1,024",953,"1,568","2,273",276,233,738,496,251,392,411,471,"1,304",784,424,574,"17,976",3,1,0,1,388,182,575,0,0,0,0,0,0,0,238430
BAJA CALIFORNIA SUR,166,196,0,2,0,"94,499","23,683","118,380",381,0,381,301,12,47,559,25,70,607,10,190,"1,411",28,187,486,0,46,259,3,39,950,1,113,552,2,128,"6,026",2,0,2,0,21,0,25,0,0,0,0,0,0,0,124978
CAMPECHE,188,0,0,0,0,"109,308","20,805","130,113",0,5,5,42,0,5,77,0,20,101,0,31,386,0,51,110,0,22,43,0,10,127,0,41,160,0,24,"1,250",0,0,1,0,0,0,1,0,0,0,0,0,0,0,131557
CHIAPAS,854,"8,353","16,108",1376,2999,"165,517","24,750","219,103",1,651,652,188,10,0,493,22,121,186,11,0,433,50,72,36,1,0,51,10,2,28,9,0,71,35,5,"1,834",0,0,0,1,0,0,1,0,0,0,0,0,0,0,222444
CHIHUAHUA,721,5635,7782,220,761,"191,576","16,374","222,348",4056,364,4420,321,101,179,448,123,425,735,153,391,704,127,669,366,82,131,160,35,155,627,105,252,274,87,302,"6,952",27,0,0,0,352,43,422,0,0,0,0,0,0,0,234863
CIUDAD DE MEXICO,"3,382","6,683",2,"1,431",2,"553,336","161,118","722,572","1,336","1,260","2,596",1020,212,0,"2,491",277,1,"2,061",328,1,"4,507",484,0,"2,910",205,0,"2,221",236,0,"4,675",403,1,"3,472",416,1,"25,922",3,0,3,2,3,2,13,0,0,2,2,2,2,8,754493
COAHUILA DE ZARAGOZA,"1,788",35936,"15,335",1245,524,"266,686","59,940","379,666",937,2574,3511,670,583,457,359,665,617,786,1535,2197,"1,037",1140,1825,196,513,412,226,649,370,386,587,400,299,476,168,"16,553",1,0,40,0,536,22,599,0,0,0,0,0,0,0,402117
COLIMA,313,"1,226","1,264",240,216,"75,888","13,270","92,104",0,67,67,0,68,3,0,152,21,0,162,43,0,304,105,0,271,13,0,169,6,0,454,21,0,308,20,"2,120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,94604
DURANGO,1648,"2,563",0,377,0,"182,540","14,228","199,708",67,6355,"6,422",78,112,36,110,158,85,356,322,109,456,303,211,103,73,54,68,39,50,362,253,144,198,138,113,"3,931",1,0,4,0,19,10,34,0,0,0,0,0,0,0,211743
GUANAJUATO,1775,0,0,0,0,"899,917","100,082","999,999",16032,3070,19102,1582,1645,157,3519,1737,211,5164,2915,400,8917,3379,584,2096,945,181,1558,811,74,4226,1510,348,3177,1272,141,"46,549",1,1,0,1,366,688,1057,0,0,0,0,0,0,0,1068482
GUERRERO,653,0,477,0,63,"300,900","56,549","357,989",72,698,770,117,162,54,526,230,104,190,377,86,"1,084",239,193,41,116,46,85,139,36,58,115,30,130,139,55,"4,352",2,0,2,1,3,0,8,0,0,4,3,0,0,7,363779
HIDALGO,2446,"104,446","27,397",21989,"7,088","479,116","85,315","725,351",1387,"4,971","6,358",505,200,5,2002,413,10,1835,999,8,"4,897",1591,21,732,235,2,976,194,4,"1,597",651,11,1550,617,5,"19,060",8,0,34,8,298,124,472,1,0,20,2,0,0,23,753710
JALISCO,"2,650","68,071","6,018","17,197","1,459","541,307","118,646","752,698","1,586","5,233","6,819",837,911,185,"1,526","1,390",239,"2,707","1,898",591,"4,482","2,887",769,1276,1445,318,778,642,131,2706,3108,753,1582,1395,303,"32,859",18,2,2,9,110,237,378,1,0,0,2,0,0,3,795407
MEXICO,8809,28103,53,7544,7,"2,661,473","575,830","3,273,010",13880,"5,933","19,813",2449,1921,54,5139,4527,126,8214,5098,197,"16,026",11031,360,3386,3898,116,2753,2370,66,7672,7318,269,6119,5197,180,"94,486",31,0,35,16,13,951,1046,0,0,4,0,0,0,4,3397168
MICHOACAN DE OCAMPO,"1,610",2,27,1,3,"729,605","101,678","831,316",0,"7,057","7,057",373,15,38,1018,72,102,759,38,164,"1,500",142,418,459,11,116,288,5,88,735,18,275,655,16,295,"7,600",0,0,0,0,1,0,1,0,0,0,0,0,0,0,847584
MORELOS,661,"41,947",28089,"7,056",6371,"111,218","27,006","221,687",0,61,61,22,104,96,72,67,141,67,93,240,238,138,352,17,100,71,45,25,64,107,62,288,94,71,148,"2,722",6,13,0,0,0,31,50,0,0,0,0,0,0,0,225181
NAYARIT,362,,,,,"3,655",339,"3,994",527,,527,,,108,,,191,,,328,,,572,,,269,,,119,,,416,,,277,"2,280",,,,,3,17,20,5,,,,,,5,7188
NUEVO LEON,"1,673","1,833","6,112",571,"1,346","175,906","34,643","220,411",13402,"2,146","15,548",288,216,195,672,466,551,545,297,174,"1,048",776,920,478,357,324,338,146,451,890,638,424,623,309,556,"11,682",49,4,151,25,3049,281,3559,2,0,15,0,0,0,17,252890
OAXACA,804,949,825,40,97,"261,643","36,002","299,556",,492,492,324,,,845,19,,202,,,583,38,0,38,,,55,1,,41,,,38,6,,"2,190",,,,,,,,,,,,,0,0,303042
PUEBLA,"2,206","146,009","38,210","36,502","9,956","476,576","125,029","832,282","1,009",31,"1,040",502,812,50,"1,035","1,083",66,"2,349","3,511",177,"3,610","4,420",182,491,734,713,363,432,291,"1,488","2,098",91,"1,073","1,228",49,"26,848",5,0,3809,0,"5,078","1,082","9,974",263,0,75,0,0,0,338,872688
QUERETARO,589,10444,100,315,25,234232,29838,274954,4505,0,4505,166,43,0,562,748,0,164,80,0,509,1485,0,92,63,36,74,526,0,108,69,0,120,936,0,5781,0,0,0,0,0,1,1,0,0,0,0,0,0,0,285830
QUINTANA ROO,485,17774,55,3416,166,47668,7251,76330,141,15264,15405,15,107,11,100,219,37,49,171,19,179,271,33,16,104,19,130,68,55,134,115,25,104,81,96,2158,1,0,0,2,0,6,9,0,0,0,0,0,0,0,94387
SAN LUIS POTOSI,1514,2675,1474,432,330,69648,13889,88448,348,405,753,363,35,9,1132,124,75,1201,81,68,3058,262,218,513,34,5,588,48,23,970,99,50,1152,74,46,10228,7,4,75,0,320,0,406,0,0,2,0,0,0,2,101351
SINALOA,229,1278,3699,246,835,246038,63463,315559,71,3643,3714,136,377,180,235,504,234,278,951,412,433,2303,1284,307,290,173,219,347,173,412,522,283,356,853,410,11672,2,0,0,0,0,0,2,0,0,0,0,0,0,0,331176
SONORA,946,26924,4833,3943,1214,155435,26286,218635,1951,4290,6241,731,959,911,1378,1245,1332,1308,1511,982,2065,1773,1251,605,419,315,472,467,349,1114,772,506,803,728,381,22377,1,0,0,0,31,0,32,0,0,0,0,0,0,0,248231
TABASCO,293,980,90,,,262047,46192,309309,,711,711,16,0,0,112,0,0,100,0,0,409,0,0,35,0,0,36,0,0,67,0,0,78,0,0,853,0,,,,1,,1,,,,,,,,311167
TAMAULIPAS,1408,33335,29931,14191,11913,215435,36160,340965,3195,10222,13417,380,55,207,738,122,354,570,313,323,1765,566,639,286,72,159,389,85,156,392,120,218,794,408,301,9412,426,22,55,1,757,52,1313,0,5,0,0,0,0,5,366520
TLAXCALA,373,4386,0,933,0,245374,57678,308371,10416,0,10416,506,112,0,885,236,0,2727,602,0,4081,864,0,1081,298,0,566,178,0,2792,627,0,1673,494,0,17722,0,0,3,0,930,0,933,0,0,0,0,0,0,0,337815
