Microsoft Office PivotTable 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Apartado,Variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,053 ZOONOSIS-RABIA PERSONAS AGREDIDAS,188 PREVENCIÓN Y CONTROL DE RABIA ANIMALES VACUNADOS,,,,,,,189 PREVENCIÓN Y CONTROL DE RABIA ANIMALES EN CONTROL,,,190 PREVENCIÓN Y CONTROL DE RABIA ANIMALES ESTERILIZADOS,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total
,,,,RAV09 PERRO AUTORIDAD LOCAL,RAV10 PERRO GRUPOS DE LA COMUNIDAD,RAV14 GATO AUTORIDAD LOCAL,RAV15 GATO GRUPOS DE LA COMUNIDAD,RAV16 PERRO SSA,RAV17 GATO SSA,Total,RAE03 CENTRO DE ATENCIÓN CANINA,RAE04 AUTORIDAD LOCAL,Total,RAM21 PERRO MACHO MENOR DE UN AÑO SSA,RAM22 PERRO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM23 PERRO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM24 PERRO MACHO UN AÑO Y MÁS SSA,RAM25 PERRO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM26 PERRO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM27 PERRO HEMBRA MENOR DE UN AÑO SSA,RAM28 PERRO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM29 PERRO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM30 PERRO HEMBRA UN AÑO Y MÁS SSA,RAM31 PERRO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM32 PERRO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM33 GATO MACHO MENOR DE UN AÑO SSA,RAM34 GATO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM35 GATO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM36 GATO MACHO UN AÑO Y MÁS SSA,RAM37 GATO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM38 GATO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM39 GATO HEMBRA MENOR DE UN AÑO SSA,RAM40 GATO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM41 GATO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM42 GATO HEMBRA UN AÑO Y MÁS SSA,RAM43 GATO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM44 GATO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,Total,
Entidad,Jurisdicción,Municipio,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
1 AGUASCALIENTES,1  AGUASCALIENTES,1   AGUASCALIENTES,179,38267,,3355,,79481,8894,129997,,7371,7371,465,101,11,730,198,11,786,168,8,1082,241,27,749,95,23,183,39,2,1270,209,43,312,73,5,6831,144378
,,5   JESÚS MARÍA,10,,,,,24815,2240,27055,,,,23,,,52,,,60,,,123,,,26,,,5,,,62,,,26,,,377,27442
,,10  EL LLANO,3,,,,,7342,1492,8834,,,,1,,,4,,,9,,,7,,,,,,,,,4,,,3,,,28,8865
,,11  SAN FRANCISCO DE LOS ROMO,21,,,,,10889,1135,12024,,,,11,,,20,,,34,,,50,,,10,,,5,,,27,,,11,,,168,12213
,,Total,213,38267,,3355,,122527,13761,177910,,7371,7371,500,101,11,806,198,11,889,168,8,1262,241,27,785,95,23,193,39,2,1363,209,43,352,73,5,7404,192898
,2  RINCÓN DE ROMOS,2   ASIENTOS,1,,,,,14494,1857,16351,,,,7,,,14,,,17,,,20,,,1,,,2,,,5,,,7,,,73,16425
,,4   COSÍO,9,,,,,4397,507,4904,,,,,,,3,,,3,,,15,,,1,,,,,,4,,,2,,,28,4941
,,6   PABELLÓN DE ARTEAGA,35,,,,,8629,1137,9766,,,,16,20,,21,13,,72,19,,63,40,,25,6,,9,3,,79,21,,13,3,,423,10224
,,7   RINCÓN DE ROMOS,40,,,,,11204,1168,12372,,,,32,15,,13,,,35,,,43,16,,5,,,,2,,14,10,,7,,,192,12604
,,8   SAN JOSÉ DE GRACIA,10,,,,,2862,572,3434,,,,1,,,,,,12,,,4,,,1,,,,,,1,,,1,,,20,3464
,,9   TEPEZALÁ,,,,,,5791,943,6734,,,,20,,,1,,,3,,,5,,,3,,,,,,2,,,,,,34,6768
